瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),SPI-3
90,加檬,Oct-01,15.9,70,234.9,0.131
90,加檬,Nov-01,8.8,44,36.7,1.156
90,加檬,Dec-01,1.4,36,20.2,0.649
90,加檬,Jan-02,0.8,51,87.1,-0.012
90,加檬,Feb-02,4.2,37,0.6,-0.103
90,加檬,Mar-02,8.7,47,14.1,-0.678
90,加檬,Apr-02,12.2,54,58.5,-1.601
90,加檬,May-02,15.6,69,78.2,-0.54
90,加檬,Jun-02,19.5,73,66.5,-0.518
90,加檬,Jul-02,21.9,83,301.4,0.132
90,加檬,Aug-02,22.7,81,531.2,1.043
90,加檬,Sep-02,19.1,77,225.9,1.287
90,加檬,Oct-02,13,59,42.8,0.985
90,加檬,Nov-02,5.1,42,4,-0.631
90,加檬,Dec-02,1.2,61,140,-0.043
90,加檬,Jan-03,-1.6,49,34.7,0.305
90,加檬,Feb-03,1.6,66,63.6,1.224
90,加檬,Mar-03,4.5,65,56.8,0.189
90,加檬,Apr-03,11,66,136.1,1.098
90,加檬,May-03,14.8,76,111.5,1.029
90,加檬,Jun-03,20.3,75,132.1,1.056
90,加檬,Jul-03,20.8,86,258,0.414
90,加檬,Aug-03,22.5,85,349.2,0.417
90,加檬,Sep-03,19.7,81,425.4,1.195
90,加檬,Oct-03,14.1,56,51.6,1.089
90,加檬,Nov-03,9.3,68,278.2,1.909
90,加檬,Dec-03,2.9,40,1.8,0.871
90,加檬,Jan-04,0.5,40,25,1.199
90,加檬,Feb-04,3.6,42,26.7,-1.026
90,加檬,Mar-04,6.9,42,1.8,-1.804
90,加檬,Apr-04,12.7,53,104.4,-0.451
90,加檬,May-04,16.7,67,46.7,-0.512
90,加檬,Jun-04,20.8,74,99.7,-0.026
90,加檬,Jul-04,23.9,83,554,1.28
90,加檬,Aug-04,23.1,81,460.3,1.784
90,加檬,Sep-04,20.1,77,200.1,1.815
90,加檬,Oct-04,14.8,60,16.9,0.47
90,加檬,Nov-04,10.6,54,39.5,-0.745
90,加檬,Dec-04,4.2,45,12.2,-1.166
