일시,Predicted,Observed
1997-04-01,-0.5566499999999984,-0.606
1997-05-01,1.336209999999998,2.049
1997-06-01,1.4991499999999998,1.95
1997-07-01,0.2555600000000003,0.606
1997-08-01,-1.3328100000000007,-1.858
1997-09-01,-0.653639999999998,-1.326
1997-10-01,-0.3857200000000011,-0.809
1997-11-01,0.47738000000000175,0.826
1997-12-01,0.5449400000000026,0.665
1998-01-01,0.9487100000000026,1.184
1998-02-01,0.8324099999999974,1.053
1998-03-01,-0.21183000000000254,-0.201
1998-04-01,0.14411000000000054,0.257
1998-05-01,-0.12909000000000015,-0.166
1998-06-01,0.49572000000000177,0.964
1998-07-01,1.6400300000000054,1.715
1998-08-01,1.7048499999999995,1.823
1998-09-01,1.5366200000000048,1.439
1998-10-01,0.17514999999999786,0.272
1998-11-01,0.04010999999999707,-0.294
